emp;uni;uni_fabril;bitola;formato;tipologia;un;descricao;sit;lote
13;1;BA1;7066;10X10;MONOQUEIMA;M2;REV. MESH 10X10 NE;LB;4000
13;1;BA1;6243;19X90;PORC GL;M2;PORC GL 19X90 CM/II;LB;4000
13;1;BA1;6431;60X120;PORC GL;M2;PORC GL 60X120 9,5MM;LB;4000
13;1;BA1;7414;60X120;PORC GL;M2;PORC GL 60X120 AC;LB;4000
13;1;BA1;7240;19,7X120;PORC GL;M2;PORC GL 19,7X120 BA1;LB;4000
13;1;BA1;4665;59X59;PORC GL;M2;PORC GL 59X59CM/2;LB;4000
13;1;BA1;4475;60X60;PORC GL;M2;PORC. 60X60 CM;LB;4000
13;1;BA1;7422;90X90;PORC GL;M2;PGL 90X90 8,5MM BA1;LB;4000
13;1;BA1;7413;60X120;PORC GL;M2;PORC GL 60X120 PO;LB;4000
13;1;BA1;5989;45X45;PORC GL;M2;PISO 45X45 CM-BA 12p;LB;4000
13;1;BA1;6991;45X45;PORC GL;M2;PISO 45X45 BA 7,4MM;LB;4000
13;1;BA1;6460;30X90;AZULEJO;M2;REV. 30X90 9MM BA;LB;4000
13;1;BA1;6089;30X90;AZULEJO;M2;REVEST. 30X90/II;LB;4000
13;1;BA1;6001;32,5X59;PORC GL;M2;PAREDE 32,5X59/3;LB;4000
13;1;BA1;4682;33,5X60;PORC GL;M2;PAREDE 33,5X60 BA/1;LB;4000
13;1;BA1;6587;60X120;PORC GL;M2;PORC GL 60X120 PO;LB;4000
13;1;BA1;6244;19,5X91,2;PORC GL;M2;PORC GL 19,5X91,2/3;LB;4000
13;1;BA1;6294;19,5X91,2;PORC GL;M2;PORC GL 19,5X91,2;LB;4000
13;1;BA1;6090;19X90;PORC GL;M2;PORC GL 19X90 CM/I;LB;4000
42;1;PB1;7268;10X10;PORC GL;M2;REV. 10X10 PB1;LB;4000
42;1;PB1;7280;90X90;PORC GL;M2;PORC GL 90X90 AC PB1;LB;4000
42;1;PB1;7271;90X90;PORC GL;M2;PORC GL 90X90 PO PB1;LB;4000
42;1;PB1;7386;100X100;PORC GL;M2;PORC GL 100X100 8,5;LB;4000
42;1;PB1;7387;100X100;PORC GL;M2;PGL 100X100 PO 8,5MM;LB;4000
42;1;PB1;7399;70X70;PORC GL;M2;PORC GL 70X70 AC;LB;4000
42;1;PB1;7400;70X70;PORC GL;M2;PORC GL 70X70 PO;LB;4000
42;1;PB1;7264;7X26;PORC GL;M2;REV. SIM. 7X26 PB1;LB;4000
42;1;PB1;7267;7X26;PORC GL;M2;REV. 07X26-T.A PB1;LB;4000
42;1;PB1;7403;70X70;PORC GL;M2;PUGL 70X70 PB1 NAT;LB;4000
42;1;PB1;7404;70X70;PORC GL;M2;PUGL 70X70 PB1 PO;LB;4000
42;1;PB1;6916;60X60;PORC GL;M2;PORC GL 60X60;LB;4000
42;1;PB1;6912;60X60;PORC GL;M2;PORC GL 60X60 PO;LB;4000
42;1;PB1;6913;60X60;PORC GL;M2;PORC UGL 60X60 NA;LB;4000
42;1;PB1;7456;84X84;PORC GL;M2;PORC GL 84X84 PB;LB;4000
42;1;PB1;7136;74X74;PORC GL;M2;PORC GL 74X74 PO EP1;LB;4000
42;1;PB1;7457;84X84;PORC GL;M2;PORC GL 84X84 POL PB;LB;4000
42;1;PB1;6914;60X60;PORC GL;M2;PORC UGL 60X60 PO;LB;4000
45;1;RN1;7452;52,5X52,5;PORC GL;M2;REVEST 52,5X52,5 AC;LB;4000
45;1;RN1;7503;52,5X52,5;PORC GL;M2;REV 52,5X52,5 AC ECO;LB;4000
